Indicator,Month,Facility,Total_Visits,Monthly_Expenditure_USD,Cost_Per_ANC_Visit
fbfJHSPpUQD,202505,cZtKKa9eJZ3,155,1528.11,9.86
fbfJHSPpUQD,202601,GQpxsB7tekR,6,1116.59,186.1
fbfJHSPpUQD,202511,GtJoxCaM2zg,24,897.06,37.38
fbfJHSPpUQD,202511,uFp0ztDOFbI,9,2757.24,306.36
fbfJHSPpUQD,202508,vELbGdEphPd,130,1817.29,13.98
fbfJHSPpUQD,202506,mGmu0GJ5neg,34,2034.02,59.82
fbfJHSPpUQD,202506,DwlFKzDSuQU,33,924.9,28.03
fbfJHSPpUQD,202602,UUgajyaViT7,16,936.52,58.53
fbfJHSPpUQD,202508,er9S4CQ9QOn,3,2471.96,823.99
fbfJHSPpUQD,202601,eCfxBe1lnxb,8,585.59,73.2
fbfJHSPpUQD,202509,DUDHgE5DECu,12,1975.59,164.63
fbfJHSPpUQD,202511,nCh5dBoJVNw,2,2534.25,1267.12
fbfJHSPpUQD,202512,yZPsWcZC9WA,9,2964.51,329.39
fbfJHSPpUQD,202603,Vh1fsWOYcv1,12,828.32,69.03
fbfJHSPpUQD,202506,SptGAcmbgPz,13,1783.67,137.21
fbfJHSPpUQD,202511,MPUiud3BYRq,29,1823.87,62.89
fbfJHSPpUQD,202508,RhJbg8UD75Q,17,2893.24,170.19
fbfJHSPpUQD,202602,w0QDch3dyPH,19,2299.08,121.0
fbfJHSPpUQD,202512,gUPhNWkSXvD,57,662.79,11.63
fbfJHSPpUQD,202506,WT6JLfyR9lL,11,2611.04,237.37
fbfJHSPpUQD,202510,HFyjUvMjQ8H,18,1933.45,107.41
fbfJHSPpUQD,202509,lwHs72tP6Kh,14,871.9,62.28
fbfJHSPpUQD,202603,Zq9ATbrmKIa,7,1871.64,267.38
fbfJHSPpUQD,202506,bHcw141PTsE,35,1369.03,39.12
fbfJHSPpUQD,202602,HVQ6gJE8R24,8,2554.35,319.29
fbfJHSPpUQD,202510,wjFsUXI1MlO,16,1263.05,78.94
fbfJHSPpUQD,202509,mokUyyg3olJ,6,1225.72,204.29
fbfJHSPpUQD,202511,hLGkoHmvBgI,20,1059.5,52.98
fbfJHSPpUQD,202603,Eyqyhztf8G1,4,2335.97,583.99
fbfJHSPpUQD,202601,QoROdPmIdY1,12,1606.23,133.85
fbfJHSPpUQD,202509,f6xGA6BZBLO,18,2003.75,111.32
fbfJHSPpUQD,202601,Pw9SihGDbZ5,18,1206.81,67.04
fbfJHSPpUQD,202603,zm9breCeT1m,19,1804.4,94.97
fbfJHSPpUQD,202512,lwHs72tP6Kh,18,1298.61,72.14
fbfJHSPpUQD,202603,vwvDblM3MNX,13,2567.17,197.47
fbfJHSPpUQD,202602,PwoQgMJNWbR,28,2287.08,81.68
fbfJHSPpUQD,202601,FupvWBUFXr7,30,2380.94,79.36
fbfJHSPpUQD,202602,sTOXJA2KcY2,17,1688.84,99.34
fbfJHSPpUQD,202508,uDzWmUDHKeR,14,1935.16,138.23
fbfJHSPpUQD,202506,XJI24bY3AN7,20,2760.11,138.01
fbfJHSPpUQD,202603,GhXvo3BpCvo,5,1521.97,304.39
fbfJHSPpUQD,202506,aQoqXL4cZaF,18,731.39,40.63
fbfJHSPpUQD,202507,Dbn6fyCgMBV,37,879.4,23.77
fbfJHSPpUQD,202508,nCh5dBoJVNw,3,1666.66,555.55
fbfJHSPpUQD,202602,M3dL6ZAIZ3I,37,2954.23,79.84
fbfJHSPpUQD,202512,cKXicCOquXe,8,2377.43,297.18
fbfJHSPpUQD,202512,YFlZA0y0Vi6,18,2152.24,119.57
fbfJHSPpUQD,202508,MiYhwDprCCA,56,868.4,15.51
fbfJHSPpUQD,202604,n3MRjKtwr3O,9,1070.89,118.99
fbfJHSPpUQD,202505,a1E6QWBTEwX,20,1935.13,96.76
fbfJHSPpUQD,202602,RNGpZqutw3Y,20,2491.89,124.59
fbfJHSPpUQD,202511,XmfqaErvQ2T,12,2732.91,227.74
fbfJHSPpUQD,202601,ei21lW7hFPX,20,2788.98,139.45
fbfJHSPpUQD,202512,YQ3csPLAlrn,38,2243.58,59.04
fbfJHSPpUQD,202506,pUZIL5xBsve,84,2281.38,27.16
fbfJHSPpUQD,202507,HFyjUvMjQ8H,25,2638.58,105.54
fbfJHSPpUQD,202603,uYTq3TEO2a9,15,508.43,33.9
fbfJHSPpUQD,202507,E9oBVjyEaCe,16,1322.18,82.64
fbfJHSPpUQD,202511,MiYhwDprCCA,76,2614.33,34.4
fbfJHSPpUQD,202505,Q2USZSJmcNK,50,2049.69,40.99
fbfJHSPpUQD,202512,mokUyyg3olJ,9,2582.99,287.0
fbfJHSPpUQD,202603,OwhDCucf4Ue,26,983.62,37.83
fbfJHSPpUQD,202510,EmTN0L4EAVi,36,1344.73,37.35
fbfJHSPpUQD,202511,RhJbg8UD75Q,25,2469.24,98.77
fbfJHSPpUQD,202603,PwgoRuWEDvJ,6,1006.6,167.77
fbfJHSPpUQD,202508,UjusePB4jmP,25,906.08,36.24
fbfJHSPpUQD,202505,Bf9R1R91mw4,13,753.83,57.99
fbfJHSPpUQD,202507,GjJjES51GvK,12,1132.0,94.33
fbfJHSPpUQD,202505,nDoybVJLD74,16,704.24,44.02
fbfJHSPpUQD,202512,Mod8hYpQ3Ma,10,922.0,92.2
fbfJHSPpUQD,202507,SFQblJrFblm,13,1593.94,122.61
fbfJHSPpUQD,202512,AXZq6q7Dr6E,5,2521.44,504.29
fbfJHSPpUQD,202506,ZSBnWFBpPPJ,7,2574.97,367.85
fbfJHSPpUQD,202603,m7fBMpmVpSM,10,2713.09,271.31
fbfJHSPpUQD,202507,F7u30K5OIpi,27,2946.6,109.13
fbfJHSPpUQD,202604,XctPvvWIIcF,6,2167.76,361.29
fbfJHSPpUQD,202508,XmfqaErvQ2T,18,2042.66,113.48
fbfJHSPpUQD,202506,WdgS1JcBL2g,24,2461.81,102.58
fbfJHSPpUQD,202603,kFur7xPhpH9,2,2549.07,1274.54
fbfJHSPpUQD,202509,LFpl1falVZi,45,1240.36,27.56
fbfJHSPpUQD,202604,IXJg79fclDm,19,2408.61,126.77
fbfJHSPpUQD,202604,PhR1PdMTzhW,7,2061.53,294.5
fbfJHSPpUQD,202508,MPUiud3BYRq,20,2887.62,144.38
fbfJHSPpUQD,202507,GIRLSZ1tB00,5,675.98,135.2
fbfJHSPpUQD,202509,mshIal30ffW,12,2701.2,225.1
fbfJHSPpUQD,202604,PA1spYiNZfv,16,1364.68,85.29
fbfJHSPpUQD,202511,iMZihUMzH92,12,571.51,47.63
fbfJHSPpUQD,202601,tEgxbwwrwUd,12,2985.39,248.78
fbfJHSPpUQD,202604,wGsBlwh6Zzt,17,2925.75,172.1
fbfJHSPpUQD,202509,bW5BaqrBM4K,10,1093.36,109.34
fbfJHSPpUQD,202505,SC0nM3cbGHy,20,1874.11,93.71
fbfJHSPpUQD,202511,WOk7efLlLSj,12,1952.63,162.72
fbfJHSPpUQD,202601,NRPCjDljVtu,33,1662.58,50.38
fbfJHSPpUQD,202601,ShdRyzuLKA2,24,857.32,35.72
fbfJHSPpUQD,202601,gmen7SXL9CU,32,1869.29,58.42
fbfJHSPpUQD,202509,JemZqD90S44,21,1323.08,63.0
fbfJHSPpUQD,202512,jjtzkzrmG7s,5,554.38,110.88
fbfJHSPpUQD,202512,f6xGA6BZBLO,7,2544.66,363.52
fbfJHSPpUQD,202510,dkmpOuVhBba,23,599.62,26.07
fbfJHSPpUQD,202509,lvxIJAb2QJo,3,1468.44,489.48
fbfJHSPpUQD,202603,OGaAWQD6SYs,21,2922.88,139.18
fbfJHSPpUQD,202602,aBfyTU5Wgds,10,2482.15,248.22
fbfJHSPpUQD,202604,up9gjdODKXE,18,1178.94,65.5
fbfJHSPpUQD,202603,ncGs9vXS36w,10,2302.35,230.24
fbfJHSPpUQD,202604,FQ5CCuUKNLf,11,2982.9,271.17
fbfJHSPpUQD,202511,lsqa3EEGHxv,21,938.24,44.68
fbfJHSPpUQD,202506,F2TAF765q1b,10,842.67,84.27
fbfJHSPpUQD,202509,OcRCVRy2M7X,22,1177.4,53.52
fbfJHSPpUQD,202602,X7ZVgRPt31q,13,1736.18,133.55
fbfJHSPpUQD,202509,NfE9gvFwLIF,150,919.54,6.13
fbfJHSPpUQD,202604,yh1PrRTboyg,10,1901.36,190.14
fbfJHSPpUQD,202604,z4silfLpw2G,27,988.48,36.61
fbfJHSPpUQD,202505,Cc9kMNFpGmC,12,2721.03,226.75
fbfJHSPpUQD,202505,TYq1YW7qs7k,26,929.98,35.77
fbfJHSPpUQD,202510,bne6tOoPaWn,5,1072.13,214.43
fbfJHSPpUQD,202602,HWXk4EBHUyk,15,736.64,49.11
fbfJHSPpUQD,202509,amgb83zVxp5,29,2563.43,88.39
fbfJHSPpUQD,202509,dqHvtpUqLwB,7,2238.09,319.73
fbfJHSPpUQD,202505,bkMlhoccaVw,23,1774.49,77.15
fbfJHSPpUQD,202506,yJ1xkKha5oE,10,2471.38,247.14
fbfJHSPpUQD,202507,dkmpOuVhBba,22,2195.64,99.8
fbfJHSPpUQD,202505,Pr2stbkaSX3,13,1749.72,134.59
fbfJHSPpUQD,202509,GyH8bjdOTsD,15,1451.82,96.79
fbfJHSPpUQD,202510,MuZJ8lprGqK,31,1708.93,55.13
fbfJHSPpUQD,202505,CTOMXJg41hz,8,2888.95,361.12
fbfJHSPpUQD,202602,lOv6IFgr6Fs,6,2403.47,400.58
fbfJHSPpUQD,202506,vPKxHJ1og0r,13,1027.05,79.0
fbfJHSPpUQD,202506,Vw6CNyFUeh9,13,1100.98,84.69
fbfJHSPpUQD,202602,iIpPPnnzDo6,7,1180.84,168.69
fbfJHSPpUQD,202506,PuZOFApTSeo,17,2452.3,144.25
fbfJHSPpUQD,202601,UWhv0MQOqoB,27,2477.26,91.75
fbfJHSPpUQD,202510,U4FzUXMvbI8,17,2377.58,139.86
fbfJHSPpUQD,202602,Bpvug2zxHEZ,5,2619.26,523.85
fbfJHSPpUQD,202508,hpXXBtRXXSd,1,2964.1,2964.1
fbfJHSPpUQD,202507,bne6tOoPaWn,10,691.65,69.16
fbfJHSPpUQD,202601,flQBQV8eyHc,9,1568.64,174.29
fbfJHSPpUQD,202509,Mod8hYpQ3Ma,9,991.54,110.17
fbfJHSPpUQD,202506,sHbLRZLmS4w,9,1397.44,155.27
fbfJHSPpUQD,202601,dmdYffw2I0F,8,1160.91,145.11
fbfJHSPpUQD,202507,DlLBIHdpaTy,4,2610.4,652.6
fbfJHSPpUQD,202507,I2DzylqJa2i,7,2983.42,426.2
fbfJHSPpUQD,202508,p310xqwAJge,11,1065.31,96.85
fbfJHSPpUQD,202505,TJA0eGRoRpc,20,539.84,26.99
fbfJHSPpUQD,202505,kvzdkXBxHoN,15,2344.94,156.33
fbfJHSPpUQD,202601,Gtnbmf4LkOz,20,890.74,44.54
fbfJHSPpUQD,202506,p9ZtyC3LQ9f,4,1828.13,457.03
fbfJHSPpUQD,202506,UOJlcpPnBat,22,2842.76,129.22
fbfJHSPpUQD,202603,mhJQYk2Jwym,9,1315.63,146.18
fbfJHSPpUQD,202512,uedNhvYPMNu,6,2438.29,406.38
fbfJHSPpUQD,202602,YDDOlgRBEAA,18,2645.03,146.95
fbfJHSPpUQD,202602,hKD6hpZUh9v,15,1591.07,106.07
fbfJHSPpUQD,202602,D6yiaX1K5sO,6,529.33,88.22
fbfJHSPpUQD,202601,nDwbwJZQUYU,12,841.71,70.14
fbfJHSPpUQD,202511,FLjwMPWLrL2,45,1337.09,29.71
fbfJHSPpUQD,202510,wP1zsnNxbSE,12,2643.31,220.28
fbfJHSPpUQD,202507,MuZJ8lprGqK,55,2751.32,50.02
fbfJHSPpUQD,202512,lvxIJAb2QJo,12,573.69,47.81
fbfJHSPpUQD,202601,ewh5SKxcCAl,9,2530.83,281.2
fbfJHSPpUQD,202603,BedE3DKQDFf,11,1587.39,144.31
fbfJHSPpUQD,202506,ZzdTFqWrlDa,32,1042.68,32.58
fbfJHSPpUQD,202509,ifw5aLygJEi,39,2189.63,56.14
fbfJHSPpUQD,202601,D7UVRRE9iUC,11,1845.02,167.73
fbfJHSPpUQD,202603,qAFXoNjlZCB,20,527.42,26.37
fbfJHSPpUQD,202512,JemZqD90S44,12,570.54,47.54
fbfJHSPpUQD,202602,CEoD9uQVIZB,9,2015.46,223.94
fbfJHSPpUQD,202601,x5ZxMDvEQUb,21,2223.63,105.89
fbfJHSPpUQD,202604,lpQvlm9czYE,20,1923.6,96.18
fbfJHSPpUQD,202509,jIrb5XckcU6,11,2525.1,229.55
fbfJHSPpUQD,202509,XfVYz6l2rzg,36,1034.11,28.73
fbfJHSPpUQD,202506,mkFoaAdosuY,23,1059.99,46.09
fbfJHSPpUQD,202508,uAk40nFigUK,16,637.19,39.82
fbfJHSPpUQD,202601,u0SlCNJnK3K,6,1698.93,283.16
fbfJHSPpUQD,202601,M9JyYBZTqR7,29,1815.73,62.61
fbfJHSPpUQD,202603,cag6vQQ9SQk,7,2507.22,358.17
fbfJHSPpUQD,202603,u3rHGQGLLP7,7,1366.89,195.27
fbfJHSPpUQD,202508,lzz1UhTzO4E,38,2338.74,61.55
fbfJHSPpUQD,202507,PfZXxl6Wp3F,41,2518.51,61.43
fbfJHSPpUQD,202602,wkYbuEwNWyf,5,2888.44,577.69
fbfJHSPpUQD,202507,PnMPARoMhWW,32,914.56,28.58
fbfJHSPpUQD,202508,SHLY5rkOFTQ,45,624.17,13.87
fbfJHSPpUQD,202601,pXDcgDRz8Od,57,571.94,10.03
fbfJHSPpUQD,202506,vSbt6cezomG,204,2028.3,9.94
fbfJHSPpUQD,202510,JQJjsXvHE5M,15,1200.29,80.02
fbfJHSPpUQD,202601,U9klfqqGlRa,20,2773.35,138.67
fbfJHSPpUQD,202508,zuXW98AEbE7,14,2503.92,178.85
fbfJHSPpUQD,202510,b09gf2vvZDb,64,825.34,12.9
fbfJHSPpUQD,202602,EuoA3Crpqts,24,2012.09,83.84
fbfJHSPpUQD,202505,aSnKB1sWaz4,7,2037.45,291.06
fbfJHSPpUQD,202506,el8sgzyHuEe,17,835.27,49.13
fbfJHSPpUQD,202509,FQ5CCuUKNLf,17,891.97,52.47
fbfJHSPpUQD,202506,aSnKB1sWaz4,8,1519.27,189.91
fbfJHSPpUQD,202509,EihevoTWn2i,38,1235.39,32.51
fbfJHSPpUQD,202510,uAk40nFigUK,8,2393.53,299.19
fbfJHSPpUQD,202511,mhJQYk2Jwym,16,2834.97,177.19
fbfJHSPpUQD,202604,EH0dXLB4nZg,11,2854.78,259.53
fbfJHSPpUQD,202506,iqd7BiRHor0,5,2732.2,546.44
fbfJHSPpUQD,202508,X7ZVgRPt31q,9,1247.83,138.65
fbfJHSPpUQD,202604,sFgNRYS5pBo,7,1970.12,281.45
fbfJHSPpUQD,202508,mepHuAA9l51,10,1134.01,113.4
fbfJHSPpUQD,202508,GkHpMSo5K60,23,1300.65,56.55
fbfJHSPpUQD,202602,Zf2v0kbI7ah,23,820.13,35.66
fbfJHSPpUQD,202506,hyLU8ivDJDi,9,1069.1,118.79
fbfJHSPpUQD,202511,m8qnxndRDR6,77,2759.0,35.83
fbfJHSPpUQD,202507,hyLU8ivDJDi,18,940.53,52.25
fbfJHSPpUQD,202602,dGZbEZroAWr,11,1710.27,155.48
fbfJHSPpUQD,202509,mhJQYk2Jwym,17,956.05,56.24
fbfJHSPpUQD,202506,vELaJEPLOPF,27,1739.19,64.41
fbfJHSPpUQD,202602,dkmpOuVhBba,14,2382.6,170.19
fbfJHSPpUQD,202507,DJr17K6RWzO,14,1126.67,80.48
fbfJHSPpUQD,202510,BJMWTGwuGiw,21,1011.44,48.16
fbfJHSPpUQD,202602,oIgBLlEo6eH,11,2280.68,207.33
fbfJHSPpUQD,202505,FQ5CCuUKNLf,25,1250.57,50.02
fbfJHSPpUQD,202604,iMDr2FG7i8Q,10,1848.15,184.82
fbfJHSPpUQD,202508,DJr17K6RWzO,11,2499.55,227.23
fbfJHSPpUQD,202604,pRg7dkjqNPc,14,2699.02,192.79
fbfJHSPpUQD,202512,cw0Wm1QTHRq,23,2829.35,123.02
fbfJHSPpUQD,202509,cZZG5BMDLps,12,2528.94,210.74
fbfJHSPpUQD,202505,UgUcwzbEv2C,11,876.06,79.64
fbfJHSPpUQD,202508,aVycEyoSBJx,30,1405.48,46.85
fbfJHSPpUQD,202509,RpjUEvgWSNO,12,1993.45,166.12
fbfJHSPpUQD,202510,SHLY5rkOFTQ,43,898.03,20.88
fbfJHSPpUQD,202508,RpjUEvgWSNO,35,2240.55,64.02
fbfJHSPpUQD,202604,Brre03pQkKB,9,2234.8,248.31
fbfJHSPpUQD,202509,zY9ds4oNZxw,11,2873.43,261.22
fbfJHSPpUQD,202510,EQUwHqZOb5L,12,1360.15,113.35
fbfJHSPpUQD,202511,EQUwHqZOb5L,9,1802.88,200.32
fbfJHSPpUQD,202508,PysJIi3VIol,50,820.01,16.4
fbfJHSPpUQD,202505,zY9ds4oNZxw,12,888.23,74.02
fbfJHSPpUQD,202601,HMltAwIjIIe,12,2793.08,232.76
fbfJHSPpUQD,202508,pmzk0ho80aA,17,1056.07,62.12
fbfJHSPpUQD,202506,kqyeoWyfDmQ,7,2445.19,349.31
fbfJHSPpUQD,202604,pdF4XIHIGPx,6,2819.18,469.86
fbfJHSPpUQD,202509,UgUcwzbEv2C,18,1729.1,96.06
fbfJHSPpUQD,202511,zY9ds4oNZxw,15,1182.19,78.81
fbfJHSPpUQD,202603,sesv0eXljBq,35,2503.97,71.54
fbfJHSPpUQD,202602,tR6e8k99ODA,3,1914.24,638.08
fbfJHSPpUQD,202511,SCc0TNTDJED,33,1501.82,45.51
fbfJHSPpUQD,202505,yg7uxUol97F,23,585.92,25.47
fbfJHSPpUQD,202508,GA7eQkgK5mX,2,923.56,461.78
fbfJHSPpUQD,202507,D0iakqyTknH,10,816.49,81.65
fbfJHSPpUQD,202512,kedYKTsv95j,20,1854.13,92.71
fbfJHSPpUQD,202509,m7fBMpmVpSM,7,2237.39,319.63
fbfJHSPpUQD,202601,GjJjES51GvK,16,2340.21,146.26
fbfJHSPpUQD,202505,ETRqfu74kge,36,2438.39,67.73
fbfJHSPpUQD,202506,HC2NlwpoXfb,13,2488.72,191.44
fbfJHSPpUQD,202510,zuXW98AEbE7,21,1760.66,83.84
fbfJHSPpUQD,202601,GA7eQkgK5mX,10,1313.32,131.33
fbfJHSPpUQD,202506,ETRqfu74kge,16,1067.54,66.72
fbfJHSPpUQD,202505,lyONqUkY1Bq,14,978.24,69.87
fbfJHSPpUQD,202508,Q0HywoaWOcM,13,843.35,64.87
fbfJHSPpUQD,202506,JQJjsXvHE5M,7,2945.53,420.79
fbfJHSPpUQD,202511,jIrb5XckcU6,14,1897.68,135.55
fbfJHSPpUQD,202604,t66taqSF1mW,9,2038.06,226.45
fbfJHSPpUQD,202602,Q0HywoaWOcM,16,749.86,46.87
fbfJHSPpUQD,202604,h9q3qixffZT,25,1555.4,62.22
fbfJHSPpUQD,202604,FgYDmGwmpEU,3,1531.81,510.6
fbfJHSPpUQD,202509,D2rB1GRuh8C,23,1133.92,49.3
fbfJHSPpUQD,202604,dCvUVvKnhMe,38,2065.85,54.36
fbfJHSPpUQD,202604,eRg3KZyWUSJ,4,1095.26,273.82
fbfJHSPpUQD,202512,GHPuYdLcVN5,6,1642.44,273.74
fbfJHSPpUQD,202601,ZSBnWFBpPPJ,8,2437.29,304.66
fbfJHSPpUQD,202506,CSDGDOa7wHd,10,2574.0,257.4
fbfJHSPpUQD,202509,dCvUVvKnhMe,26,1790.39,68.86
fbfJHSPpUQD,202506,lQIe6vtSe1P,21,815.04,38.81
fbfJHSPpUQD,202603,xX4lIVqF4yb,8,1879.73,234.97
fbfJHSPpUQD,202510,aVycEyoSBJx,19,2313.97,121.79
fbfJHSPpUQD,202510,NjyJYiIuKIG,28,1251.05,44.68
fbfJHSPpUQD,202511,tHUYjt9cU6h,131,813.81,6.21
fbfJHSPpUQD,202604,KfUCAQoOIae,6,2237.46,372.91
fbfJHSPpUQD,202507,nZblzPvJ5UW,16,2907.6,181.72
fbfJHSPpUQD,202601,kEkU53NrFmy,32,2285.3,71.42
fbfJHSPpUQD,202506,pXDcgDRz8Od,115,2320.32,20.18
fbfJHSPpUQD,202510,NnGUNkc5Zq8,2,2405.7,1202.85
fbfJHSPpUQD,202603,y5hLlID8ihI,2,2445.98,1222.99
fbfJHSPpUQD,202510,Bpvug2zxHEZ,9,2548.05,283.12
fbfJHSPpUQD,202603,oDAoqMWcsJQ,6,2104.45,350.74
fbfJHSPpUQD,202603,RzgSFJ9E46G,7,2408.59,344.08
fbfJHSPpUQD,202507,esMAQ4vs4kM,17,2261.73,133.04
fbfJHSPpUQD,202509,RzgSFJ9E46G,8,1815.93,226.99
fbfJHSPpUQD,202603,AGrsLyKWrVX,20,2308.37,115.42
fbfJHSPpUQD,202603,MPUiud3BYRq,18,2143.87,119.1
fbfJHSPpUQD,202603,z6v73gowbuM,18,609.84,33.88
fbfJHSPpUQD,202510,GkHpMSo5K60,19,1724.54,90.77
fbfJHSPpUQD,202506,NRPCjDljVtu,27,1116.68,41.36
fbfJHSPpUQD,202509,AGrsLyKWrVX,27,1934.04,71.63
fbfJHSPpUQD,202510,x5ZxMDvEQUb,28,1233.37,44.05
fbfJHSPpUQD,202604,xX4lIVqF4yb,8,1375.74,171.97
fbfJHSPpUQD,202505,vSbt6cezomG,246,1661.81,6.76
fbfJHSPpUQD,202505,EH0dXLB4nZg,33,1325.53,40.17
fbfJHSPpUQD,202510,LmRTf03IFkA,23,2467.85,107.3
fbfJHSPpUQD,202601,aVycEyoSBJx,24,1962.22,81.76
fbfJHSPpUQD,202602,nZblzPvJ5UW,8,1524.72,190.59
fbfJHSPpUQD,202509,EuoA3Crpqts,16,544.8,34.05
fbfJHSPpUQD,202604,f90eISKFm7P,16,2913.65,182.1
fbfJHSPpUQD,202601,Z8Cm76B2726,10,1606.36,160.64
fbfJHSPpUQD,202603,aBfyTU5Wgds,16,644.7,40.29
fbfJHSPpUQD,202506,svCLFkT99Yx,50,919.22,18.38
fbfJHSPpUQD,202601,zw5ppT2dwZy,9,2323.53,258.17
fbfJHSPpUQD,202507,zQ2pFkzGtIg,1,2705.26,2705.26
fbfJHSPpUQD,202512,l2kZRcJjomr,4,1381.02,345.26
fbfJHSPpUQD,202506,XePkcmza9e8,25,2962.8,118.51
fbfJHSPpUQD,202602,LzvoPaeLPsb,20,1656.1,82.8
fbfJHSPpUQD,202512,z6v73gowbuM,11,1406.83,127.89
fbfJHSPpUQD,202603,gUPhNWkSXvD,40,2728.06,68.2
fbfJHSPpUQD,202512,PA1spYiNZfv,12,847.18,70.6
fbfJHSPpUQD,202604,DINXUs8QZWg,11,1183.08,107.55
fbfJHSPpUQD,202602,GkHpMSo5K60,20,2501.23,125.06
fbfJHSPpUQD,202604,cBi3y4lGhDd,17,762.62,44.86
fbfJHSPpUQD,202508,PD1fqyvJssC,15,2014.98,134.33
fbfJHSPpUQD,202510,NpHsnQ2L1oY,17,1743.97,102.59
fbfJHSPpUQD,202603,tdhB1JXYBx2,7,749.7,107.1
fbfJHSPpUQD,202508,rLaGvUnv2BF,19,746.41,39.28
fbfJHSPpUQD,202507,dU3vTbLRLHy,15,1576.92,105.13
fbfJHSPpUQD,202506,r4W2vzlmPhm,10,686.64,68.66
fbfJHSPpUQD,202507,kO9xe2HCovK,16,2582.49,161.41
fbfJHSPpUQD,202509,iMDr2FG7i8Q,21,2842.96,135.38
fbfJHSPpUQD,202509,h9q3qixffZT,65,2655.27,40.85
fbfJHSPpUQD,202602,K3jhn3TXF3a,18,2835.72,157.54
fbfJHSPpUQD,202505,T1lTKu6zkHN,14,1653.96,118.14
fbfJHSPpUQD,202506,FupvWBUFXr7,40,2238.87,55.97
fbfJHSPpUQD,202507,YDDOlgRBEAA,38,514.12,13.53
fbfJHSPpUQD,202506,OwHjzJEVEUN,10,1703.34,170.33
fbfJHSPpUQD,202511,t7bcrWLjL1m,6,2883.08,480.51
fbfJHSPpUQD,202505,Gm7YUjhVi9Q,16,1357.38,84.84
fbfJHSPpUQD,202508,RNGpZqutw3Y,26,1851.96,71.23
fbfJHSPpUQD,202505,h9q3qixffZT,84,1746.69,20.79
fbfJHSPpUQD,202603,uDzWmUDHKeR,10,962.44,96.24
fbfJHSPpUQD,202604,JNJIPX9DfaW,15,2647.03,176.47
fbfJHSPpUQD,202506,kUzpbgPCwVA,28,1206.58,43.09
fbfJHSPpUQD,202506,NpHsnQ2L1oY,23,882.84,38.38
fbfJHSPpUQD,202505,cw0Wm1QTHRq,54,977.18,18.1
fbfJHSPpUQD,202506,R9gZAoI9aQM,8,1797.82,224.73
fbfJHSPpUQD,202512,F7oVR22kQ5J,3,1456.94,485.65
fbfJHSPpUQD,202602,m8qnxndRDR6,55,1199.48,21.81
fbfJHSPpUQD,202508,u3rHGQGLLP7,15,850.61,56.71
fbfJHSPpUQD,202604,JZraNIfZ5JM,26,2606.25,100.24
fbfJHSPpUQD,202506,M9JyYBZTqR7,33,1739.93,52.73
fbfJHSPpUQD,202512,NwX8noGxLoz,8,815.05,101.88
fbfJHSPpUQD,202512,flJbtXOQ4ha,19,2379.47,125.24
fbfJHSPpUQD,202603,cZZG5BMDLps,8,1099.21,137.4
fbfJHSPpUQD,202604,ARAZtL7Bdpy,7,1865.74,266.53
fbfJHSPpUQD,202507,CbIWQQoWcLc,12,1081.71,90.14
fbfJHSPpUQD,202510,Qc9lf4VM9bD,198,1531.23,7.73
fbfJHSPpUQD,202508,BJMWTGwuGiw,30,2229.8,74.33
fbfJHSPpUQD,202602,dczh6Jfd4no,10,1619.49,161.95
fbfJHSPpUQD,202604,uoPC2z9r7Cc,6,2217.18,369.53
fbfJHSPpUQD,202506,x5ZxMDvEQUb,35,1993.97,56.97
fbfJHSPpUQD,202604,fGp4OcovQpa,8,823.82,102.98
fbfJHSPpUQD,202509,am6EFqHGKeU,30,1123.49,37.45
fbfJHSPpUQD,202603,CgunjDKbM45,10,1125.76,112.58
fbfJHSPpUQD,202510,NRPCjDljVtu,26,1158.95,44.58
fbfJHSPpUQD,202512,T1lTKu6zkHN,13,1017.35,78.26
fbfJHSPpUQD,202602,as1dnmlXLzG,3,2456.55,818.85
fbfJHSPpUQD,202506,yets9NmUcRS,30,2119.19,70.64
fbfJHSPpUQD,202509,GvFqTavdpGE,12,2958.69,246.56
fbfJHSPpUQD,202510,wcHRDp21Lw1,4,2868.54,717.14
fbfJHSPpUQD,202603,Uv15pOAstzX,6,2370.16,395.03
fbfJHSPpUQD,202506,CqARw68kXbB,9,870.05,96.67
fbfJHSPpUQD,202505,sSgOnY1Xqd9,32,1540.71,48.15
fbfJHSPpUQD,202603,k1Y0oNqPlmy,4,1699.76,424.94
fbfJHSPpUQD,202603,KcCbIDzRcui,11,2680.12,243.65
fbfJHSPpUQD,202601,uAk40nFigUK,23,960.53,41.76
fbfJHSPpUQD,202510,DiszpKrYNg8,18,1291.95,71.78
fbfJHSPpUQD,202507,FclfbEFMcf3,148,2426.07,16.39
fbfJHSPpUQD,202603,l2kZRcJjomr,11,2762.02,251.09
fbfJHSPpUQD,202506,FFU3PJ3pY7s,30,2000.46,66.68
fbfJHSPpUQD,202506,va2lE4FiVVb,23,2245.32,97.62
fbfJHSPpUQD,202507,SptGAcmbgPz,10,1765.1,176.51
fbfJHSPpUQD,202508,CFPrsD3dNeb,17,2948.85,173.46
fbfJHSPpUQD,202604,Vh1fsWOYcv1,12,1079.85,89.99
fbfJHSPpUQD,202511,u6ZGNI8yUmt,19,1773.32,93.33
fbfJHSPpUQD,202602,QIp6DHlMGfb,30,2824.17,94.14
