Indicator,Month,Facility,Total_Visits
fbfJHSPpUQD,202603,OTn9VMNEkdo,8
fbfJHSPpUQD,202505,HlDMbDWUmTy,33
fbfJHSPpUQD,202604,v0HMlSxlH7l,14
fbfJHSPpUQD,202603,f6xGA6BZBLO,14
fbfJHSPpUQD,202604,eoYV2p74eVz,53
fbfJHSPpUQD,202511,e2WgqiasKnD,14
fbfJHSPpUQD,202510,BXd3TqaAxkK,11
fbfJHSPpUQD,202506,xXYv82KlBUh,31
fbfJHSPpUQD,202604,c41XRVOYNJm,13
fbfJHSPpUQD,202505,bqSIIRuZ1qj,15
fbfJHSPpUQD,202506,wUmVUKhnPuy,10
fbfJHSPpUQD,202512,tWjUy6MCx8q,17
fbfJHSPpUQD,202508,aVlSMMvgVzf,5
fbfJHSPpUQD,202604,g3O1pGAfgK1,15
fbfJHSPpUQD,202508,oph70zH8JB2,21
fbfJHSPpUQD,202509,HlDMbDWUmTy,16
fbfJHSPpUQD,202505,JttXgTlQAGE,27
fbfJHSPpUQD,202507,mUuCjQWMaOc,7
fbfJHSPpUQD,202505,inpc5QsFRTm,46
fbfJHSPpUQD,202511,I2UW55qvn82,9
fbfJHSPpUQD,202604,Qw7c6Ckb0XC,13
fbfJHSPpUQD,202510,SVEfwJ0BGeD,8
fbfJHSPpUQD,202512,VhRX5JDVo7R,181
fbfJHSPpUQD,202604,ctMepV9p92I,8
fbfJHSPpUQD,202604,TSyzvBiovKh,217
fbfJHSPpUQD,202508,cJkZLwhL8RP,14
fbfJHSPpUQD,202509,bqSIIRuZ1qj,11
fbfJHSPpUQD,202604,RQgXBKxgvHf,16
fbfJHSPpUQD,202508,D6yiaX1K5sO,15
fbfJHSPpUQD,202512,wSHfjjFqUay,13
fbfJHSPpUQD,202511,EQnfnY03sRp,5
fbfJHSPpUQD,202604,MErVkzdbsP5,17
fbfJHSPpUQD,202506,DZaJmtlaBMl,14
fbfJHSPpUQD,202505,rIgJX4N0DGZ,53
fbfJHSPpUQD,202601,YAuJ3fyoEuI,9
fbfJHSPpUQD,202602,JrSIoCOdTH2,84
fbfJHSPpUQD,202512,Ahh47q8AkId,8
fbfJHSPpUQD,202512,J1x66stNjk2,9
fbfJHSPpUQD,202508,XiORvSsxn6s,20
fbfJHSPpUQD,202508,M4hyYfnb21I,5
fbfJHSPpUQD,202510,oolcy5HBlMy,5
fbfJHSPpUQD,202510,bVZTNrnfn9G,95
fbfJHSPpUQD,202510,IFXdzAk7hKi,13
fbfJHSPpUQD,202604,en0j7qFnySQ,14
fbfJHSPpUQD,202603,ifw5aLygJEi,21
fbfJHSPpUQD,202602,EZIMUaUD8AJ,6
fbfJHSPpUQD,202507,SVEfwJ0BGeD,6
fbfJHSPpUQD,202506,GHHvGp7tgtZ,20
fbfJHSPpUQD,202604,egv5Es0QlQP,5
fbfJHSPpUQD,202603,TQ5DSmdliN7,14
fbfJHSPpUQD,202510,Fbq6Vxa4MIx,15
fbfJHSPpUQD,202508,EQnfnY03sRp,7
fbfJHSPpUQD,202505,tWjUy6MCx8q,16
fbfJHSPpUQD,202509,BedE3DKQDFf,13
fbfJHSPpUQD,202603,AIM09vwxjoN,13
fbfJHSPpUQD,202506,J3wTSn87RP2,12
fbfJHSPpUQD,202506,Yj2ni275yPJ,13
fbfJHSPpUQD,202505,g7BLyiBb0ET,4
fbfJHSPpUQD,202507,u0SlCNJnK3K,18
fbfJHSPpUQD,202507,BXd3TqaAxkK,10
fbfJHSPpUQD,202508,GMOl74xzmAE,12
fbfJHSPpUQD,202506,E497Rk80ivZ,33
fbfJHSPpUQD,202604,cWIiusmHULW,24
fbfJHSPpUQD,202506,w9XjBMJYL9R,9
fbfJHSPpUQD,202507,TbiRD4Bsz4Z,12
fbfJHSPpUQD,202512,Zq9ATbrmKIa,5
fbfJHSPpUQD,202510,iH79WhpsByj,10
fbfJHSPpUQD,202511,ZoHdXy2ueVn,35
fbfJHSPpUQD,202509,ncGs9vXS36w,23
fbfJHSPpUQD,202505,jGYT5U5qJP6,14
fbfJHSPpUQD,202506,kSo9KSpHUPL,26
fbfJHSPpUQD,202510,SFQigiC2ISS,7
fbfJHSPpUQD,202506,lpQvlm9czYE,39
fbfJHSPpUQD,202601,Umh4HKqqFp6,208
fbfJHSPpUQD,202506,SzEmaH63Qe8,10
fbfJHSPpUQD,202507,EJoI3HArJ2W,5
fbfJHSPpUQD,202601,DlLBIHdpaTy,3
fbfJHSPpUQD,202603,ueuQlqb8ccl,39
fbfJHSPpUQD,202603,Fhko00f3hXT,21
fbfJHSPpUQD,202509,rJ25bHbIujw,16
fbfJHSPpUQD,202604,HAqUY00X9N5,8
fbfJHSPpUQD,202505,DvzKyuC0G4w,50
fbfJHSPpUQD,202505,mkIugjeYSjE,21
fbfJHSPpUQD,202505,xKaB8tfbTzm,16
fbfJHSPpUQD,202601,QZzRkqdGjlm,7
fbfJHSPpUQD,202505,tO01bqIipeD,34
fbfJHSPpUQD,202604,al4GkB6X2X3,7
fbfJHSPpUQD,202505,fXT1scbEObM,23
fbfJHSPpUQD,202509,uedNhvYPMNu,5
fbfJHSPpUQD,202603,aXnGiQGhOAj,4
fbfJHSPpUQD,202508,nbMpoRiVRWd,25
fbfJHSPpUQD,202602,xEip3dtU8bp,10
fbfJHSPpUQD,202602,TjZwphhxCuV,6
fbfJHSPpUQD,202511,roQ2l7TX0eZ,30
fbfJHSPpUQD,202604,fCFdj2T0Bq1,17
fbfJHSPpUQD,202506,sM0Us0NkSez,70
fbfJHSPpUQD,202506,g8upMTyEZGZ,8
fbfJHSPpUQD,202603,GyH8bjdOTsD,14
fbfJHSPpUQD,202508,vgOQ7fWmMyZ,5
fbfJHSPpUQD,202603,Qu0QOykPdcD,7
fbfJHSPpUQD,202506,Srnpwq8jKbp,24
fbfJHSPpUQD,202507,WZ8PTx8qQlE,15
fbfJHSPpUQD,202508,GtJoxCaM2zg,32
fbfJHSPpUQD,202506,AlLmKZIIIT4,10
fbfJHSPpUQD,202507,BqRElDluXGa,19
fbfJHSPpUQD,202508,kbGqmM6ZWWV,44
fbfJHSPpUQD,202511,n7wN9gMFfZ5,11
fbfJHSPpUQD,202506,L5gENbBNNup,31
fbfJHSPpUQD,202510,BqRElDluXGa,8
fbfJHSPpUQD,202512,tZxqVn3xNrA,5
fbfJHSPpUQD,202507,KR0jLuFOB3d,14
fbfJHSPpUQD,202601,UCwtaCrNUls,15
fbfJHSPpUQD,202601,VH7hLUaypel,22
fbfJHSPpUQD,202506,aSxNNRxPuBP,11
fbfJHSPpUQD,202507,L4Tw4NlaMjn,9
fbfJHSPpUQD,202601,gowgzHWc8FT,21
fbfJHSPpUQD,202511,kbGqmM6ZWWV,120
fbfJHSPpUQD,202604,PyLBGdbzdEo,12
fbfJHSPpUQD,202601,L4Tw4NlaMjn,15
fbfJHSPpUQD,202509,Ls2ESQONh9S,26
fbfJHSPpUQD,202507,Z7UAnjpK74g,41
fbfJHSPpUQD,202505,NqLYdlnK8sc,40
fbfJHSPpUQD,202508,fUxVOkpX3yi,13
fbfJHSPpUQD,202509,tZxqVn3xNrA,13
fbfJHSPpUQD,202509,IHa6fsNWsOZ,10
fbfJHSPpUQD,202601,r5WWF9WDzoa,24
fbfJHSPpUQD,202601,jVDUkOBCjDy,13
fbfJHSPpUQD,202509,WhCQNekdIwM,21
fbfJHSPpUQD,202510,m21WB5iqHAb,9
fbfJHSPpUQD,202604,pJj2r2HElLE,13
fbfJHSPpUQD,202510,sznCEDMABa2,14
fbfJHSPpUQD,202508,d9zRBAoM8OC,22
fbfJHSPpUQD,202509,yMCshbaVExv,16
fbfJHSPpUQD,202506,prNiMdHuaaU,44
fbfJHSPpUQD,202509,K6oyIMh7Lee,32
fbfJHSPpUQD,202512,rJ25bHbIujw,11
fbfJHSPpUQD,202602,hpXXBtRXXSd,10
fbfJHSPpUQD,202602,GcwGqLqyi1M,24
fbfJHSPpUQD,202508,waNtxFbPjrI,20
fbfJHSPpUQD,202507,HTDuY3uxj6u,12
fbfJHSPpUQD,202604,PHo0IV7Vk50,14
fbfJHSPpUQD,202505,GGDHb8xd8jc,43
fbfJHSPpUQD,202505,ZZmMpGIE7pD,29
fbfJHSPpUQD,202505,k6lOze3vTzP,54
fbfJHSPpUQD,202603,wNYYRm2c9EK,63
fbfJHSPpUQD,202508,HWXk4EBHUyk,23
fbfJHSPpUQD,202604,PB8FMGbn19r,21
fbfJHSPpUQD,202506,wGsBlwh6Zzt,17
fbfJHSPpUQD,202507,uczMdDZXdtl,30
fbfJHSPpUQD,202505,uYTq3TEO2a9,24
fbfJHSPpUQD,202508,FLjwMPWLrL2,40
fbfJHSPpUQD,202603,nv41sOz8IVM,7
fbfJHSPpUQD,202507,JBhJiwqBCUa,60
fbfJHSPpUQD,202506,fNL2oehab2Q,18
fbfJHSPpUQD,202510,VFF7f43dJv4,35
fbfJHSPpUQD,202602,k92yudERPlv,21
fbfJHSPpUQD,202601,WAjjFMDJKcx,35
fbfJHSPpUQD,202601,H97XE5Ea089,23
fbfJHSPpUQD,202507,GM9ddjXIO5b,15
fbfJHSPpUQD,202602,agEKP19IUKI,23
fbfJHSPpUQD,202508,roQ2l7TX0eZ,23
fbfJHSPpUQD,202507,DKZnUSfwjKx,16
fbfJHSPpUQD,202511,rebbn0ooFSO,3
fbfJHSPpUQD,202511,geVF87N7qTw,13
fbfJHSPpUQD,202505,bKiJzk8ZZbS,70
fbfJHSPpUQD,202508,agEKP19IUKI,15
fbfJHSPpUQD,202509,aXnGiQGhOAj,4
fbfJHSPpUQD,202510,PWqwcBdRGIH,70
fbfJHSPpUQD,202602,NDqR2cWlVy3,7
fbfJHSPpUQD,202507,gowgzHWc8FT,10
fbfJHSPpUQD,202507,EmTN0L4EAVi,20
fbfJHSPpUQD,202508,YPSCWmJ3TyN,19
fbfJHSPpUQD,202604,q56204kKXgZ,62
fbfJHSPpUQD,202510,uczMdDZXdtl,24
fbfJHSPpUQD,202505,sYJCxNdKHxR,29
fbfJHSPpUQD,202507,U4FzUXMvbI8,21
fbfJHSPpUQD,202508,wO4z5Aqo0hf,11
fbfJHSPpUQD,202602,rNaQEFRINbd,3
fbfJHSPpUQD,202506,T3iVyvrCpZ0,22
fbfJHSPpUQD,202601,KR0jLuFOB3d,9
fbfJHSPpUQD,202510,Zp2Yi4j2AAH,13
fbfJHSPpUQD,202505,Q23tMsKOoO6,5
fbfJHSPpUQD,202602,IpA5FViU8tk,17
fbfJHSPpUQD,202603,tt9XZYR5avl,5
fbfJHSPpUQD,202512,Ls2ESQONh9S,155
fbfJHSPpUQD,202601,WZ8PTx8qQlE,11
fbfJHSPpUQD,202604,fAsj6a4nudH,20
fbfJHSPpUQD,202601,BqRElDluXGa,13
fbfJHSPpUQD,202601,KwSj4DlRWAm,15
fbfJHSPpUQD,202509,Xzxy8NuVsLp,21
fbfJHSPpUQD,202507,dBD9OHJFN8u,9
fbfJHSPpUQD,202506,DQHGtTGOP6b,15
fbfJHSPpUQD,202506,OUPkxfQld8y,18
fbfJHSPpUQD,202509,VhRX5JDVo7R,139
fbfJHSPpUQD,202511,cJkZLwhL8RP,12
fbfJHSPpUQD,202512,DUDHgE5DECu,20
fbfJHSPpUQD,202507,r5WWF9WDzoa,12
fbfJHSPpUQD,202512,WhCQNekdIwM,27
fbfJHSPpUQD,202508,sTOXJA2KcY2,17
fbfJHSPpUQD,202511,a5glgtnXJRG,28
fbfJHSPpUQD,202507,Ep5iWL1UKvF,22
fbfJHSPpUQD,202507,VH7hLUaypel,8
fbfJHSPpUQD,202506,hTGeTrwzrPi,9
fbfJHSPpUQD,202602,Zwnfm4rnzbZ,13
fbfJHSPpUQD,202511,o0BgK1dLhF8,33
fbfJHSPpUQD,202510,HTDuY3uxj6u,25
fbfJHSPpUQD,202505,AvGz949akv4,12
fbfJHSPpUQD,202603,oiSllOTiHNx,16
fbfJHSPpUQD,202509,CgunjDKbM45,13
fbfJHSPpUQD,202509,YFlZA0y0Vi6,30
fbfJHSPpUQD,202603,aRXfvyonenP,10
fbfJHSPpUQD,202602,EoIjKXqXxi2,17
fbfJHSPpUQD,202505,a1dP5m3Clw4,30
fbfJHSPpUQD,202506,OZ1olxsTyNa,5
fbfJHSPpUQD,202512,nv41sOz8IVM,7
fbfJHSPpUQD,202508,EoIjKXqXxi2,6
fbfJHSPpUQD,202601,PMsF64R6OJX,20
fbfJHSPpUQD,202601,s5aXfzOL456,10
fbfJHSPpUQD,202509,VjVYaKZ9t4K,24
fbfJHSPpUQD,202604,BJ3DJFBKwBR,21
fbfJHSPpUQD,202506,TGRCfJEnXJr,12
fbfJHSPpUQD,202509,oiSllOTiHNx,23
fbfJHSPpUQD,202512,UugO8xDeLQD,20
fbfJHSPpUQD,202604,O1KFJmM6HUx,10
fbfJHSPpUQD,202512,g031LbUPMmh,19
fbfJHSPpUQD,202510,VH7hLUaypel,15
fbfJHSPpUQD,202602,geVF87N7qTw,12
fbfJHSPpUQD,202506,kBrq7i12aan,61
fbfJHSPpUQD,202509,cKXicCOquXe,14
fbfJHSPpUQD,202509,YQ3csPLAlrn,55
fbfJHSPpUQD,202510,DKZnUSfwjKx,13
fbfJHSPpUQD,202508,geVF87N7qTw,12
fbfJHSPpUQD,202604,R0CmUlFULXg,21
fbfJHSPpUQD,202508,n7wN9gMFfZ5,6
fbfJHSPpUQD,202505,NaVzm59XKGf,45
fbfJHSPpUQD,202603,DvzKyuC0G4w,43
fbfJHSPpUQD,202603,Xzxy8NuVsLp,14
fbfJHSPpUQD,202510,SFQblJrFblm,15
fbfJHSPpUQD,202604,D6B4jrCpCwu,18
fbfJHSPpUQD,202510,QII5GqfDfO3,11
fbfJHSPpUQD,202509,k1Y0oNqPlmy,16
fbfJHSPpUQD,202505,X79FDd4EAgo,44
fbfJHSPpUQD,202506,mTNOoGXuC39,100
fbfJHSPpUQD,202505,OI0BQUurVFS,22
fbfJHSPpUQD,202505,E4jn4059Y1x,9
fbfJHSPpUQD,202602,er9S4CQ9QOn,6
fbfJHSPpUQD,202603,lBMmM0HBp4s,18
fbfJHSPpUQD,202510,Z7UAnjpK74g,30
fbfJHSPpUQD,202507,PWqwcBdRGIH,16
fbfJHSPpUQD,202512,aXnGiQGhOAj,4
fbfJHSPpUQD,202603,VjVYaKZ9t4K,24
fbfJHSPpUQD,202511,LzvoPaeLPsb,16
fbfJHSPpUQD,202505,cZtKKa9eJZ3,155
fbfJHSPpUQD,202601,GQpxsB7tekR,6
fbfJHSPpUQD,202511,GtJoxCaM2zg,24
fbfJHSPpUQD,202511,uFp0ztDOFbI,9
fbfJHSPpUQD,202508,vELbGdEphPd,130
fbfJHSPpUQD,202506,mGmu0GJ5neg,34
fbfJHSPpUQD,202506,DwlFKzDSuQU,33
fbfJHSPpUQD,202602,UUgajyaViT7,16
fbfJHSPpUQD,202508,er9S4CQ9QOn,3
fbfJHSPpUQD,202601,eCfxBe1lnxb,8
fbfJHSPpUQD,202509,DUDHgE5DECu,12
fbfJHSPpUQD,202511,nCh5dBoJVNw,2
fbfJHSPpUQD,202512,yZPsWcZC9WA,9
fbfJHSPpUQD,202603,Vh1fsWOYcv1,12
fbfJHSPpUQD,202506,SptGAcmbgPz,13
fbfJHSPpUQD,202511,MPUiud3BYRq,29
fbfJHSPpUQD,202508,RhJbg8UD75Q,17
fbfJHSPpUQD,202602,w0QDch3dyPH,19
fbfJHSPpUQD,202512,gUPhNWkSXvD,57
fbfJHSPpUQD,202506,WT6JLfyR9lL,11
fbfJHSPpUQD,202510,HFyjUvMjQ8H,18
fbfJHSPpUQD,202509,lwHs72tP6Kh,14
fbfJHSPpUQD,202603,Zq9ATbrmKIa,7
fbfJHSPpUQD,202506,bHcw141PTsE,35
fbfJHSPpUQD,202602,HVQ6gJE8R24,8
fbfJHSPpUQD,202510,wjFsUXI1MlO,16
fbfJHSPpUQD,202509,mokUyyg3olJ,6
fbfJHSPpUQD,202511,hLGkoHmvBgI,20
fbfJHSPpUQD,202603,Eyqyhztf8G1,4
fbfJHSPpUQD,202601,QoROdPmIdY1,12
fbfJHSPpUQD,202509,f6xGA6BZBLO,18
fbfJHSPpUQD,202601,Pw9SihGDbZ5,18
fbfJHSPpUQD,202603,zm9breCeT1m,19
fbfJHSPpUQD,202512,lwHs72tP6Kh,18
fbfJHSPpUQD,202603,vwvDblM3MNX,13
fbfJHSPpUQD,202602,PwoQgMJNWbR,28
fbfJHSPpUQD,202601,FupvWBUFXr7,30
fbfJHSPpUQD,202602,sTOXJA2KcY2,17
fbfJHSPpUQD,202508,uDzWmUDHKeR,14
fbfJHSPpUQD,202506,XJI24bY3AN7,20
fbfJHSPpUQD,202603,GhXvo3BpCvo,5
fbfJHSPpUQD,202506,aQoqXL4cZaF,18
fbfJHSPpUQD,202507,Dbn6fyCgMBV,37
fbfJHSPpUQD,202508,nCh5dBoJVNw,3
fbfJHSPpUQD,202602,M3dL6ZAIZ3I,37
fbfJHSPpUQD,202512,cKXicCOquXe,8
fbfJHSPpUQD,202512,YFlZA0y0Vi6,18
fbfJHSPpUQD,202508,MiYhwDprCCA,56
fbfJHSPpUQD,202604,n3MRjKtwr3O,9
fbfJHSPpUQD,202505,a1E6QWBTEwX,20
fbfJHSPpUQD,202602,RNGpZqutw3Y,20
fbfJHSPpUQD,202511,XmfqaErvQ2T,12
fbfJHSPpUQD,202601,ei21lW7hFPX,20
fbfJHSPpUQD,202512,YQ3csPLAlrn,38
fbfJHSPpUQD,202506,pUZIL5xBsve,84
fbfJHSPpUQD,202507,HFyjUvMjQ8H,25
fbfJHSPpUQD,202603,uYTq3TEO2a9,15
fbfJHSPpUQD,202507,E9oBVjyEaCe,16
fbfJHSPpUQD,202511,MiYhwDprCCA,76
fbfJHSPpUQD,202505,Q2USZSJmcNK,50
fbfJHSPpUQD,202512,mokUyyg3olJ,9
fbfJHSPpUQD,202603,OwhDCucf4Ue,26
fbfJHSPpUQD,202510,EmTN0L4EAVi,36
fbfJHSPpUQD,202511,RhJbg8UD75Q,25
fbfJHSPpUQD,202603,PwgoRuWEDvJ,6
fbfJHSPpUQD,202508,UjusePB4jmP,25
fbfJHSPpUQD,202505,Bf9R1R91mw4,13
fbfJHSPpUQD,202507,GjJjES51GvK,12
fbfJHSPpUQD,202505,nDoybVJLD74,16
fbfJHSPpUQD,202512,Mod8hYpQ3Ma,10
fbfJHSPpUQD,202507,SFQblJrFblm,13
fbfJHSPpUQD,202512,AXZq6q7Dr6E,5
fbfJHSPpUQD,202506,ZSBnWFBpPPJ,7
fbfJHSPpUQD,202603,m7fBMpmVpSM,10
fbfJHSPpUQD,202507,F7u30K5OIpi,27
fbfJHSPpUQD,202604,XctPvvWIIcF,6
fbfJHSPpUQD,202508,XmfqaErvQ2T,18
fbfJHSPpUQD,202506,WdgS1JcBL2g,24
fbfJHSPpUQD,202603,kFur7xPhpH9,2
fbfJHSPpUQD,202509,LFpl1falVZi,45
fbfJHSPpUQD,202604,IXJg79fclDm,19
fbfJHSPpUQD,202604,PhR1PdMTzhW,7
fbfJHSPpUQD,202508,MPUiud3BYRq,20
fbfJHSPpUQD,202507,GIRLSZ1tB00,5
fbfJHSPpUQD,202509,mshIal30ffW,12
fbfJHSPpUQD,202604,PA1spYiNZfv,16
fbfJHSPpUQD,202511,iMZihUMzH92,12
fbfJHSPpUQD,202601,tEgxbwwrwUd,12
fbfJHSPpUQD,202604,wGsBlwh6Zzt,17
fbfJHSPpUQD,202509,bW5BaqrBM4K,10
fbfJHSPpUQD,202505,SC0nM3cbGHy,20
fbfJHSPpUQD,202511,WOk7efLlLSj,12
fbfJHSPpUQD,202601,NRPCjDljVtu,33
fbfJHSPpUQD,202601,ShdRyzuLKA2,24
fbfJHSPpUQD,202601,gmen7SXL9CU,32
fbfJHSPpUQD,202509,JemZqD90S44,21
fbfJHSPpUQD,202512,jjtzkzrmG7s,5
fbfJHSPpUQD,202512,f6xGA6BZBLO,7
fbfJHSPpUQD,202510,dkmpOuVhBba,23
fbfJHSPpUQD,202509,lvxIJAb2QJo,3
fbfJHSPpUQD,202603,OGaAWQD6SYs,21
fbfJHSPpUQD,202602,aBfyTU5Wgds,10
fbfJHSPpUQD,202604,up9gjdODKXE,18
fbfJHSPpUQD,202603,ncGs9vXS36w,10
fbfJHSPpUQD,202604,FQ5CCuUKNLf,11
fbfJHSPpUQD,202511,lsqa3EEGHxv,21
fbfJHSPpUQD,202506,F2TAF765q1b,10
fbfJHSPpUQD,202509,OcRCVRy2M7X,22
fbfJHSPpUQD,202602,X7ZVgRPt31q,13
fbfJHSPpUQD,202509,NfE9gvFwLIF,150
fbfJHSPpUQD,202604,yh1PrRTboyg,10
fbfJHSPpUQD,202604,z4silfLpw2G,27
fbfJHSPpUQD,202505,Cc9kMNFpGmC,12
fbfJHSPpUQD,202505,TYq1YW7qs7k,26
fbfJHSPpUQD,202510,bne6tOoPaWn,5
fbfJHSPpUQD,202602,HWXk4EBHUyk,15
fbfJHSPpUQD,202509,amgb83zVxp5,29
fbfJHSPpUQD,202509,dqHvtpUqLwB,7
fbfJHSPpUQD,202505,bkMlhoccaVw,23
fbfJHSPpUQD,202506,yJ1xkKha5oE,10
fbfJHSPpUQD,202507,dkmpOuVhBba,22
fbfJHSPpUQD,202505,Pr2stbkaSX3,13
fbfJHSPpUQD,202509,GyH8bjdOTsD,15
fbfJHSPpUQD,202510,MuZJ8lprGqK,31
fbfJHSPpUQD,202505,CTOMXJg41hz,8
fbfJHSPpUQD,202602,lOv6IFgr6Fs,6
fbfJHSPpUQD,202506,vPKxHJ1og0r,13
fbfJHSPpUQD,202506,Vw6CNyFUeh9,13
fbfJHSPpUQD,202602,iIpPPnnzDo6,7
fbfJHSPpUQD,202506,PuZOFApTSeo,17
fbfJHSPpUQD,202601,UWhv0MQOqoB,27
fbfJHSPpUQD,202510,U4FzUXMvbI8,17
fbfJHSPpUQD,202602,Bpvug2zxHEZ,5
fbfJHSPpUQD,202508,hpXXBtRXXSd,1
fbfJHSPpUQD,202507,bne6tOoPaWn,10
fbfJHSPpUQD,202601,flQBQV8eyHc,9
fbfJHSPpUQD,202509,Mod8hYpQ3Ma,9
fbfJHSPpUQD,202506,sHbLRZLmS4w,9
fbfJHSPpUQD,202601,dmdYffw2I0F,8
fbfJHSPpUQD,202507,DlLBIHdpaTy,4
fbfJHSPpUQD,202507,I2DzylqJa2i,7
fbfJHSPpUQD,202508,p310xqwAJge,11
fbfJHSPpUQD,202505,TJA0eGRoRpc,20
fbfJHSPpUQD,202505,kvzdkXBxHoN,15
fbfJHSPpUQD,202601,Gtnbmf4LkOz,20
fbfJHSPpUQD,202506,p9ZtyC3LQ9f,4
fbfJHSPpUQD,202506,UOJlcpPnBat,22
fbfJHSPpUQD,202603,mhJQYk2Jwym,9
fbfJHSPpUQD,202512,uedNhvYPMNu,6
fbfJHSPpUQD,202602,YDDOlgRBEAA,18
fbfJHSPpUQD,202602,hKD6hpZUh9v,15
fbfJHSPpUQD,202602,D6yiaX1K5sO,6
fbfJHSPpUQD,202601,nDwbwJZQUYU,12
fbfJHSPpUQD,202511,FLjwMPWLrL2,45
fbfJHSPpUQD,202510,wP1zsnNxbSE,12
fbfJHSPpUQD,202507,MuZJ8lprGqK,55
fbfJHSPpUQD,202512,lvxIJAb2QJo,12
fbfJHSPpUQD,202601,ewh5SKxcCAl,9
fbfJHSPpUQD,202603,BedE3DKQDFf,11
fbfJHSPpUQD,202506,ZzdTFqWrlDa,32
fbfJHSPpUQD,202509,ifw5aLygJEi,39
fbfJHSPpUQD,202601,D7UVRRE9iUC,11
fbfJHSPpUQD,202603,qAFXoNjlZCB,20
fbfJHSPpUQD,202512,JemZqD90S44,12
fbfJHSPpUQD,202602,CEoD9uQVIZB,9
fbfJHSPpUQD,202601,x5ZxMDvEQUb,21
fbfJHSPpUQD,202604,lpQvlm9czYE,20
fbfJHSPpUQD,202509,jIrb5XckcU6,11
fbfJHSPpUQD,202509,XfVYz6l2rzg,36
fbfJHSPpUQD,202506,mkFoaAdosuY,23
fbfJHSPpUQD,202508,uAk40nFigUK,16
fbfJHSPpUQD,202601,u0SlCNJnK3K,6
fbfJHSPpUQD,202601,M9JyYBZTqR7,29
fbfJHSPpUQD,202603,cag6vQQ9SQk,7
fbfJHSPpUQD,202603,u3rHGQGLLP7,7
fbfJHSPpUQD,202508,lzz1UhTzO4E,38
fbfJHSPpUQD,202507,PfZXxl6Wp3F,41
fbfJHSPpUQD,202602,wkYbuEwNWyf,5
fbfJHSPpUQD,202507,PnMPARoMhWW,32
fbfJHSPpUQD,202508,SHLY5rkOFTQ,45
fbfJHSPpUQD,202601,pXDcgDRz8Od,57
fbfJHSPpUQD,202506,vSbt6cezomG,204
fbfJHSPpUQD,202510,JQJjsXvHE5M,15
fbfJHSPpUQD,202601,U9klfqqGlRa,20
fbfJHSPpUQD,202508,zuXW98AEbE7,14
fbfJHSPpUQD,202510,b09gf2vvZDb,64
fbfJHSPpUQD,202602,EuoA3Crpqts,24
fbfJHSPpUQD,202505,aSnKB1sWaz4,7
fbfJHSPpUQD,202506,el8sgzyHuEe,17
fbfJHSPpUQD,202509,FQ5CCuUKNLf,17
fbfJHSPpUQD,202506,aSnKB1sWaz4,8
fbfJHSPpUQD,202509,EihevoTWn2i,38
fbfJHSPpUQD,202510,uAk40nFigUK,8
fbfJHSPpUQD,202511,mhJQYk2Jwym,16
fbfJHSPpUQD,202604,EH0dXLB4nZg,11
fbfJHSPpUQD,202506,iqd7BiRHor0,5
fbfJHSPpUQD,202508,X7ZVgRPt31q,9
fbfJHSPpUQD,202604,sFgNRYS5pBo,7
fbfJHSPpUQD,202508,mepHuAA9l51,10
fbfJHSPpUQD,202508,GkHpMSo5K60,23
fbfJHSPpUQD,202602,Zf2v0kbI7ah,23
fbfJHSPpUQD,202506,hyLU8ivDJDi,9
fbfJHSPpUQD,202511,m8qnxndRDR6,77
fbfJHSPpUQD,202507,hyLU8ivDJDi,18
fbfJHSPpUQD,202602,dGZbEZroAWr,11
fbfJHSPpUQD,202509,mhJQYk2Jwym,17
fbfJHSPpUQD,202506,vELaJEPLOPF,27
fbfJHSPpUQD,202602,dkmpOuVhBba,14
fbfJHSPpUQD,202507,DJr17K6RWzO,14
fbfJHSPpUQD,202510,BJMWTGwuGiw,21
fbfJHSPpUQD,202602,oIgBLlEo6eH,11
fbfJHSPpUQD,202505,FQ5CCuUKNLf,25
fbfJHSPpUQD,202604,iMDr2FG7i8Q,10
fbfJHSPpUQD,202508,DJr17K6RWzO,11
fbfJHSPpUQD,202604,pRg7dkjqNPc,14
fbfJHSPpUQD,202512,cw0Wm1QTHRq,23
fbfJHSPpUQD,202509,cZZG5BMDLps,12
fbfJHSPpUQD,202505,UgUcwzbEv2C,11
fbfJHSPpUQD,202508,aVycEyoSBJx,30
fbfJHSPpUQD,202509,RpjUEvgWSNO,12
fbfJHSPpUQD,202510,SHLY5rkOFTQ,43
fbfJHSPpUQD,202508,RpjUEvgWSNO,35
fbfJHSPpUQD,202604,Brre03pQkKB,9
fbfJHSPpUQD,202509,zY9ds4oNZxw,11
fbfJHSPpUQD,202510,EQUwHqZOb5L,12
fbfJHSPpUQD,202511,EQUwHqZOb5L,9
fbfJHSPpUQD,202508,PysJIi3VIol,50
fbfJHSPpUQD,202505,zY9ds4oNZxw,12
fbfJHSPpUQD,202601,HMltAwIjIIe,12
fbfJHSPpUQD,202508,pmzk0ho80aA,17
fbfJHSPpUQD,202506,kqyeoWyfDmQ,7
fbfJHSPpUQD,202604,pdF4XIHIGPx,6
fbfJHSPpUQD,202509,UgUcwzbEv2C,18
fbfJHSPpUQD,202511,zY9ds4oNZxw,15
fbfJHSPpUQD,202603,sesv0eXljBq,35
fbfJHSPpUQD,202602,tR6e8k99ODA,3
